kickX,kickZ,kickAngle,goalZ,Outcome,KickPleas,KickArou,GoalPleas,GoalArou
1.081044,0.113477,27,-0.404326,O,-0.652644,-0.096873,0.5,-0.472556
1.05888,0.074415,6,0.00431,G,0.575382,0.716078,-1,0.986295
1.102871,0.129391,36,-0.254897,O,-0.804122,-0.490718,0.5,0.077343
1.085764,0.114677,27,-0.200516,O,-0.66196,-0.121096,0.5,0.271378
1.050561,-0.055307,-36,-0.501888,O,-0.743523,-0.333159,0.5,-0.823848
1.073799,0.09809,21,-0.199018,O,-0.54884,0.173017,0.5,0.276584
1.05681,0.08447,9,0.495783,G,1,0.646077,-1,-0.806362
1.055084,0.078483,6,-0.404758,G,0.359853,0.77518,-1,-0.471807
1.051469,0.050503,-3,0.497955,G,0.458796,0.730583,-1,-0.813872
1.040942,0.006418,-18,-0.204355,G,1,0.449083,-1,0.25907
1.086617,0.120593,30,-0.00149,O,-0.732858,-0.30543,0.5,0.995119
1.094469,0.115613,30,0.348476,O,-0.713373,-0.25477,0.5,-0.26672
1.063469,0.087148,15,0.145879,G,1,0.407984,-1,0.470305
1.042358,0.034799,-9,0.100471,G,0.320465,0.739294,-1,0.634641
1.063125,0.094494,15,-0.50177,D,-0.3,0.424044,1,-0.823548
1.042792,0.026823,-12,0.150735,G,0.437262,0.630429,-1,0.451127
1.042657,0.026247,-12,-0.053116,G,1,0.544438,-1,0.806615
1.053509,-0.030227,-30,0.152515,O,-0.643619,-0.073409,0.5,0.447006
1.092518,0.120815,30,0.248814,O,-0.696447,-0.210763,0.5,0.09559
1.091359,0.118612,33,0.400353,O,-0.744369,-0.335358,0.5,-0.45725
1.079283,0.105126,24,-0.254086,O,-0.607687,0.020013,0.5,0.070966
1.045331,0.028359,-9,-0.396501,G,1,0.750195,-1,-0.441588
1.060815,0.084311,12,-0.104476,G,0.924216,0.43338,-1,0.619955
1.040052,0.007836,-18,0.25036,G,0.751627,0.373912,-1,0.089911
1.073465,0.159704,15,0.450781,G,1,0.506487,-1,-0.638706
1.0581,-0.051665,-36,-0.101777,O,-0.726654,-0.289299,0.5,0.627923
1.045189,0.038193,-6,0.445684,G,0.615776,0.862171,-1,-0.62079
1.05866,0.071991,6,-0.102646,G,0.495336,0.649398,-1,0.625693
1.050282,-0.047403,-36,0.397994,O,-0.782745,-0.435137,0.5,-0.449712
1.045348,0.049752,-3,-0.401675,G,0.882435,0.960394,-1,-0.460404
1.053826,0.059039,0,0.40401,G,0.9093,0.949279,-1,-0.468833
1.075247,0.102811,21,0.153734,O,-0.590642,0.064332,0.5,0.440898
1.041714,0.008958,-15,-0.446093,G,1,0.487543,-1,-0.623905
1.047635,0.0586,0,-0.352473,G,0.594118,0.944508,-1,-0.282001
1.051354,-0.046699,-36,-0.096375,O,-0.750243,-0.350632,0.5,0.649149
1.059035,0.078887,9,-0.201765,G,0.458207,0.568986,-1,0.265779
1.046365,0.039265,-6,0.398732,G,0.521521,0.861955,-1,-0.450203
1.066402,0.08763,12,0.400366,G,1,0.510284,-1,-0.453196
1.010329,0.0234,-30,0.050101,O,-0.604407,0.028542,0.5,0.821183
1.040691,0.017326,-15,-0.254769,G,1,0.500308,-1,0.074573
1.043784,0.033033,-9,0.048931,G,0.445962,0.72791,-1,0.821423
1.04592,-0.030609,-30,-0.295406,O,-0.660875,-0.118274,0.5,-0.072874
1.050733,-0.041527,-33,-0.104876,O,-0.677244,-0.160835,0.5,0.620794
1.05844,-0.05123,-36,0.401771,O,-0.83088,-0.560288,0.5,-0.457746
1.041084,-0.002602,-21,0.503526,O,-0.54664,0.178736,0.5,-0.829823
1.08878,0.174287,24,-0.003522,O,-0.608105,0.018928,0.5,0.987771
1.051037,-0.036063,-30,-0.450879,O,-0.647173,-0.082649,0.5,-0.637171
1.050943,-0.050289,-36,0.354791,O,-0.752613,-0.356795,0.5,-0.288099
1.066299,0.095353,18,0.204107,G,1,0.422597,-1,0.256478
1.040188,0.007224,-18,-0.253541,G,1,0.401692,-1,0.078048
1.054016,0.080553,9,0.004927,G,0.768647,0.620721,-1,0.981656
1.094143,0.117996,30,0.301653,O,-0.693126,-0.202128,0.5,-0.096159
1.045775,-0.007061,-21,-0.355049,O,-0.550706,0.168166,0.5,-0.289707
1.040806,-0.003031,-21,-0.150529,R,-0.4,0.387797,0.650617,0.452301
1.078341,0.102028,21,-0.504926,O,-0.562689,0.137007,0.5,-0.807589
1.048741,0.068322,3,-0.246843,D,-0.3,0.854004,1,0.097183
1.054722,0.073902,6,-0.301644,D,-0.3,0.712878,1,-0.10096
1.046473,0.031036,-9,0.454091,G,0.389925,0.741049,-1,-0.650596
1.058227,0.151513,12,0.497013,G,1,0.517452,-1,-0.807635
1.040729,0.025853,-12,-0.198539,G,1,0.60841,-1,0.276527
1.059614,0.071044,6,0.5021,G,1,0.729732,-1,-0.827034
1.073179,0.096476,18,0.503734,G,1,0.382423,-1,-0.835801
1.066968,0.093445,15,0.199486,G,1,0.398186,-1,0.273791
1.042081,-0.005427,-21,0.099755,R,-0.4,0.293105,0.599733,0.637335
1.000155,0.004017,-33,-0.200257,O,-0.699681,-0.219172,0.5,0.271387
1.048172,-0.00926,-21,0.45228,O,-0.544596,0.18405,0.5,-0.644994
1.042481,-0.015823,-24,0.44632,R,-0.4,0.258491,0.947363,-0.626774
1.076691,0.107324,24,0.451759,O,-0.584851,0.079388,0.5,-0.64282
1.057203,0.077722,9,-0.346696,D,-0.3,0.627489,1,-0.260215
1.049383,-0.019793,-24,0.000048,O,-0.547261,0.177122,0.5,0.998882
1.089715,0.108098,27,0.10411,O,-0.692224,-0.199783,0.5,0.61807
1.046614,-0.001465,-21,-0.304096,O,-0.559423,0.145501,0.5,-0.107213
1.041729,0.009808,-15,-0.402289,G,1,0.541263,-1,-0.464066
1.047204,0.022718,-12,0.304776,D,-0.3,0.651868,1,-0.109204
1.038815,0.045126,-6,-0.248154,G,1,0.696073,-1,0.098984
1.076799,0.105213,24,0.046389,O,-0.603773,0.030189,0.5,0.83138
1.043189,-0.018864,-24,-0.497989,O,-0.549843,0.170409,0.5,-0.81121
1.046268,-0.011397,-24,0.10443,O,-0.544298,0.184824,0.5,0.620723
1.10051,0.120607,36,0.046726,O,-0.796563,-0.471064,0.5,0.831646
1.101963,0.11927,33,0.047361,O,-0.755271,-0.363706,0.5,0.82792
1.070393,0.100695,21,-0.004821,O,-0.549256,0.171933,0.5,0.982466
1.048292,-0.032755,-30,-0.051165,O,-0.649661,-0.089118,0.5,0.813278
1.055252,-0.053195,-36,0.197953,O,-0.718679,-0.268566,0.5,0.279499
1.053151,-0.034669,-30,0.245554,O,-0.638234,-0.059408,0.5,0.104731
1.051723,0.042157,-6,0.40423,G,0.463636,0.827476,-1,-0.470334
1.088393,0.114696,27,0.048595,O,-0.647312,-0.083011,0.5,0.823578
1.092618,0.117256,30,0.39667,O,-0.621969,-0.017119,0.5,-0.439861
1.047729,0.00034,-18,-0.10135,R,-0.4,0.380538,0.601024,0.63264
1.046214,-0.012587,-24,0.447484,O,-0.552004,0.164789,0.5,-0.627335
1.043294,0.049577,-3,-0.150494,G,0.437919,0.9316,-1,0.452512
1.051972,0.065929,3,-0.295287,G,0.516691,0.962664,-1,-0.075206
1.093125,0.12369,33,0.500246,O,-0.753338,-0.358678,0.5,-0.822836
1.056507,0.06966,3,0.047041,G,0.404183,0.843913,-1,0.83271
1.050943,-0.050408,-36,0.046609,O,-0.71495,-0.258871,0.5,0.828449
1.077929,0.099112,21,-0.35066,O,-0.545224,0.182418,0.5,-0.275011
1.052514,-0.044609,-33,0.499206,O,-0.678109,-0.163082,0.5,-0.819128
1.048208,-0.019256,-24,0.149867,O,-0.548432,0.174077,0.5,0.456139
1.052495,0.060478,0,0.496888,G,1,0.936918,-1,-0.806697
1.045828,-0.034116,-30,-0.00219,O,-0.646074,-0.079793,0.5,0.990222
1.054564,0.074641,6,-0.3463,G,0.251872,0.779602,-1,-0.259396
1.093937,0.121371,30,0.047402,O,-0.717063,-0.264364,0.5,0.830168
1.078308,0.103486,24,-0.504457,O,-0.609048,0.016476,0.5,-0.834092
1.050609,0.133466,3,0.498223,G,1,0.920494,-1,-0.813934
1.076469,0.104208,24,0.34586,O,-0.598305,0.044408,0.5,-0.257021
1.050799,-0.015354,-24,-0.396972,O,-0.548477,0.17396,0.5,-0.44054
1.096588,0.178555,27,-0.14529,O,-0.650086,-0.090225,0.5,0.471606
1.093669,0.120801,30,-0.299152,O,-0.718193,-0.267303,0.5,-0.090195
1.076885,0.106093,24,0.198512,O,-0.627394,-0.031224,0.5,0.278313
1.09432,0.122078,33,-0.051078,O,-0.760381,-0.37699,0.5,0.815647
1.050287,0.056879,-3,0.499087,G,1,0.972227,-1,-0.813731
1.055236,0.075763,6,-0.348378,G,0.436301,0.869619,-1,-0.267389
1.072519,0.09788,21,0.499273,O,-0.541158,0.192989,0.5,-0.821046
1.049093,0.067728,3,0.196903,G,0.729348,0.832322,-1,0.28365
1.100796,0.12735,36,-0.146509,O,-0.779998,-0.427994,0.5,0.463704
1.090317,0.1158,27,0.051699,O,-0.65878,-0.112829,0.5,0.811461
